Grupo|Entente|TipoBloco|Message|TipoMsg
login|estacomdocs-s-n|Múltipla Escolha|Outros|title
login|ajudaprocesso-upload|Múltipla Escolha|Você sabe como subir eles na plataforma?|message
login|ajudaprocesso-upload|Múltipla Escolha|Sim|title
login|ajudaprocesso-upload|Múltipla Escolha|Não|title
login|ajudaprocesso-upload|Múltipla Escolha|Outros|title
login|txt-sesim-buttoncad|Lógica|Saída|title
login|doc-opcoes-copy-2|Múltipla Escolha|Você está com dúvidas de como prosseguir?|message
login|doc-opcoes-copy-2|Múltipla Escolha|Sim|title
login|doc-opcoes-copy-2|Múltipla Escolha|Não|title
login|doc-opcoes-copy-2|Múltipla Escolha|Outros|title
login|lead-doc-|Carrosel Vertical||message
login|lead-doc-|Carrosel Vertical|Tenho um problema no acesso|title
login|lead-doc-|Carrosel Vertical|Como fazer upload de documentos?|title
login|lead-doc-|Carrosel Vertical|Outros|title
login|txt-senao|Lógica|Não|title
login|opcao-appouweb|Múltipla Escolha|Você está acessando via app ou web (computador)?|message
login|opcao-appouweb|Múltipla Escolha|App|title
login|opcao-appouweb|Múltipla Escolha|Web|title
login|opcao-appouweb|Múltipla Escolha|Outros|title
login|app-web-txt|Lógica|App|title
login|app-web-txt|Lógica|Web|title
login|naoajudamais|Lógica|Saída|title
login|special-clientes|Carrosel Vertical|"Olá, {{user.name}}!

Notei que sua conta tem acesso à nossa nova consultoria de investimentos, Special.

Esse é um serviço fornecido pela Avenue Gestão de Recursos, gratuito e feito para te ajudar a acessar o maior mercado financeiro do mundo. 

Você pode contar com:

●  Carteira recomendada de investimentos;
●  Estratégias direcionadas;
●  Especialistas do mercado internacional.

Tudo em um horário que se encaixa na sua agenda e sob demanda. Você tem interesse?"|message
login|special-clientes|Carrosel Vertical|Sim, tenho interesse|title
login|special-clientes|Carrosel Vertical|Não, tenho dúvidas sobre minha conta|title
login|special-clientes|Carrosel Vertical|Outros|title
login|identifica-special|Lógica|Special|title
login|identifica-special|Lógica|Saída Normal 2|title
login|identifica-special|Lógica|Erro 2|title
login|identifica-special|Lógica|Saída Normal|title
login|identifica-special|Lógica|Erro 1|title
login|integra-salesforce|Lógica|OK|title
login|integra-salesforce|Lógica|N-OK|title
login|atendimento-bot|Teste A/B|Chatbot|title
login|atendimento-bot|Teste A/B|Atendimento|title
login|auc-balance-br|Lógica|Fora do horário|title
login|auc-balance-br|Lógica|Maior que 200 horario|title
login|auc-balance-br|Lógica|Menor que 200|title
login|dep-200-reais|Múltipla Escolha|Identifiquei que você fez um depósito na sua conta recentemente, quer que eu te conecte com um especialista digital para que ele te ajude na operação de câmbio?|message
login|dep-200-reais|Múltipla Escolha|Sim|title
login|dep-200-reais|Múltipla Escolha|Não|title
login|dep-200-reais|Múltipla Escolha|Outros|title
login|gravacaminho-ab-copy|Lógica|Saída|title
login|gravacaminho-ab-copy-copy-9|Lógica|Saída|title
login|gravacaminho-abcopy-9-copy-9|Lógica|Saída|title
login|total-invested300k|Lógica|Igual ou maior 300|title
login|total-invested300k|Lógica|Menor 300|title
login|total-invested300k|Lógica|Fora do horário|title
login|integratipo-de-conta|Lógica|Conta B2C|title
login|integratipo-de-conta|Lógica|Conta Itaú|title
login|integratipo-de-conta|Lógica|Normal|title
login|logica-asse-digital|Lógica|Conta B2B|title
login|logica-asse-digital|Lógica|Elegível Frazao|title
login|logica-asse-digital|Lógica|Elegível Joao|title
login|logica-asse-digital|Lógica|Nao eligivel|title
login|mensagem-joao|Mensagem|"Olá, {{user.name}}!

Notei que você tem acesso ao atendimento personalizado da Assessoria Digital pelo WhatsApp.

De Investimentos a Banking, nossa equipe pode ajudar você a dar o próximo passo em sua jornada."|message
login|mensagem-joao|Mensagem|Saída|title
login|sim-nao-digital|Múltipla Escolha|Quer conversar diretamente com seu assessor?|message
login|sim-nao-digital|Múltipla Escolha|Sim|title
login|sim-nao-digital|Múltipla Escolha|Não|title
login|sim-nao-digital|Múltipla Escolha|Outros|title
login|logica-asse-digital-copy-18|Lógica|André Frazão|title
login|logica-asse-digital-copy-18|Lógica|Elegível Joao|title
login|opcao-naoquero|Mensagem|Tudo bem. Irei te direcionar para o menu principal.|message
login|opcao-naoquero|Mensagem|Saída|title
login|integra-lead-copy-21|Lógica|Conta|title
login|integra-lead-copy-21|Lógica|Dados pessoais|title
login|integra-lead-copy-21|Lógica|Dados de contato|title
login|integra-lead-copy-21|Lógica|Dados financeiros|title
login|integra-lead-copy-21|Lógica|Confirmação beneficiário|title
login|integra-lead-copy-21|Lógica|Documentação|title
login|integra-lead-copy-21|Lógica|Qualified|title
login|integra-lead-copy-21|Lógica|Sem conta|title
login|assinado-ou-nao|Lógica|Assinado|title
login|assinado-ou-nao|Lógica|Não assinado|title
login|confere-relacionamen|Lógica|Rosseto|title
login|confere-relacionamen|Lógica|Emilia|title
login|confere-relacionamen|Lógica|Salema|title
login|confere-relacionamen|Lógica|Jonas|title
login|confere-relacionamen|Lógica|Pini|title
login|confere-relacionamen|Lógica|Café|title
login|confere-relacionamen|Lógica|Tognini|title
login|confere-relacionamen|Lógica|Rhuan|title
login|confere-relacionamen|Lógica|Julliana|title
login|confere-relacionamen|Lógica|Antonis|title
login|confere-relacionamen|Lógica|Felipe|title
login|confere-relacionamen|Lógica|Sem responsável|title
login|special-filtro-copy-22|Carrosel Vertical|Nossa conversa hoje é sobre alocação, ajustes de portfólio ou produtos disponíveis?|message
login|special-filtro-copy-22|Carrosel Vertical|Sim|title
login|special-filtro-copy-22|Carrosel Vertical|Não|title
login|special-filtro-copy-22|Carrosel Vertical|Outros|title
login|envia-wpp-relacionam|Lógica|Rosseto|title
login|envia-wpp-relacionam|Lógica|Emilia|title
login|envia-wpp-relacionam|Lógica|Salema|title
login|envia-wpp-relacionam|Lógica|Jonas|title
login|envia-wpp-relacionam|Lógica|Pini|title
login|envia-wpp-relacionam|Lógica|Café|title
login|envia-wpp-relacionam|Lógica|Tognini|title
login|envia-wpp-relacionam|Lógica|Rhuan|title
login|envia-wpp-relacionam|Lógica|Julliana|title
login|envia-wpp-relacionam|Lógica|Antonis|title
login|envia-wpp-relacionam|Lógica|Felipe|title
login|timer-10s|Lógica|Saída|title
login|lead-perguntas|Carrosel Vertical|Selecione a opção desejada:|message
login|lead-perguntas|Carrosel Vertical|Alterar dados|title
login|lead-perguntas|Carrosel Vertical|Abertura de conta|title
login|lead-perguntas|Carrosel Vertical|Cancelar cadastro|title
login|lead-perguntas|Carrosel Vertical|Dificuldades de login|title
login|lead-perguntas|Carrosel Vertical|Menu principal|title
login|lead-perguntas|Carrosel Vertical|Outros|title
login|txt-lead-perguntas|Lógica|Alterar dados|title
login|txt-lead-perguntas|Lógica|Abertura de conta|title
login|txt-lead-perguntas|Lógica|Cancelar cadastro|title
login|txt-lead-perguntas|Lógica|Dificuldades de login|title
login|txt-lead-perguntas|Lógica|Menu principal|title
login|opcoes-alterardados|Carrosel Vertical|Selecione a opção desejada:|message
login|opcoes-alterardados|Carrosel Vertical|Alterar e-mail|title
login|opcoes-alterardados|Carrosel Vertical|Alterar telefone|title
login|opcoes-alterardados|Carrosel Vertical|Alterar outros dados|title
login|opcoes-alterardados|Carrosel Vertical|Voltar|title
login|opcoes-alterardados|Carrosel Vertical|Outros|title
login|txt-alterardados|Lógica|Alterar e-mail|title
login|txt-alterardados|Lógica|Alterar telefone|title
login|txt-alterardados|Lógica|Alterar outros dados|title
login|problemas-login|Carrosel Vertical|Selecione a opção desejada:|message
login|problemas-login|Carrosel Vertical|Não recebo SMS|title
login|problemas-login|Carrosel Vertical|Senha bloqueada|title
login|problemas-login|Carrosel Vertical|Esqueci minha senha|title
login|problemas-login|Carrosel Vertical|Cadastro de email errado|title
login|problemas-login|Carrosel Vertical|Voltar|title
login|problemas-login|Carrosel Vertical|Outros|title
login|txt-problemaslogin|Lógica|Esqueci minha senha|title
login|txt-problemaslogin|Lógica|Senha bloqueada|title
login|txt-problemaslogin|Lógica|Cadastro de email errado|title
login|txt-problemaslogin|Lógica|Não recebo SMS|title
login|problemas-login-copy-24|Carrosel Vertical|Selecione a opção desejada:|message
login|problemas-login-copy-24|Carrosel Vertical|Menu principal|title
login|problemas-login-copy-24|Carrosel Vertical|Encerrar atendimento|title
login|problemas-login-copy-24|Carrosel Vertical|Voltar|title
login|problemas-login-copy-24|Carrosel Vertical|Outros|title
login|voltar-anterior|Lógica|Saída|title
login|logica-campanha|Lógica|Dentro|title
login|logica-campanha|Lógica|Fora de hora|title
login|logica-campanha|Lógica|Total invested fora|title
login|logica-campanha|Lógica|Conta mais de 3 dias|title
login|integra-salesforce-copy-28|Lógica|OK|title
login|integra-salesforce-copy-28|Lógica|N-OK|title
login|sim-nao-digital-copy-29|Múltipla Escolha|opcoes-cadastro|message
login|sim-nao-digital-copy-29|Múltipla Escolha|Sim|title
login|sim-nao-digital-copy-29|Múltipla Escolha|Não|title
login|sim-nao-digital-copy-29|Múltipla Escolha|Outros|title
finalizador-inv|envia-bloco-ant2|Lógica|Saída|title
finalizador-inv|finalizador-fa|Carrosel Vertical|Escolha uma das opções:|message
finalizador-inv|finalizador-fa|Carrosel Vertical|Especialista digital|title
finalizador-inv|finalizador-fa|Carrosel Vertical|Finalizar atendimento|title
finalizador-inv|finalizador-fa|Carrosel Vertical|Menu principal|title
finalizador-inv|finalizador-fa|Carrosel Vertical|Menu de Banking|title
finalizador-inv|finalizador-fa|Carrosel Vertical|Voltar|title
finalizador-inv|finalizador-fa|Carrosel Vertical|Outros|title
finalizador-inv|logica-caminho|Lógica|Especialista digital|title
finalizador-inv|logica-caminho|Lógica|Finalizar|title
finalizador-inv|logica-caminho|Lógica|Menu|title
finalizador-inv|logica-caminho|Lógica|Menu de Banking|title
finalizador-inv|finalizador|Carrosel Vertical|Escolha uma das opções:|message
finalizador-inv|finalizador|Carrosel Vertical|Finalizar atendimento|title
finalizador-inv|finalizador|Carrosel Vertical|Menu principal|title
finalizador-inv|finalizador|Carrosel Vertical|Voltar|title
finalizador-inv|finalizador|Carrosel Vertical|Outros|title
finalizador-inv|logica-caminho-copy-1|Lógica|Finalizar|title
finalizador-inv|logica-caminho-copy-1|Lógica|Menu|title
finalizador-inv|envia-bloco-ant2-copy-9|Lógica|Saída|title
finalizador-inv|final-banking-logica|Lógica|Especialista digital|title
finalizador-inv|final-banking-logica|Lógica|Finalizar|title
finalizador-inv|final-banking-logica|Lógica|Menu|title
finalizador-inv|final-banking-logica|Lógica|Menu de Investimentos|title
finalizador-inv|envia-bloco-ant2-copy-10|Lógica|Saída|title
finalizador-inv|outros-investimentos|Lógica|Saída|title
finalizador-inv|outros-finalizador|Lógica|Saída|title
finalizador-inv|outros-banking|Lógica|Saída|title
finalizador-inv|finalizador-banking|Carrosel Vertical|Escolha uma das opções:|message
finalizador-inv|finalizador-banking|Carrosel Vertical|Especialista digital|title
finalizador-inv|finalizador-banking|Carrosel Vertical|Finalizar atendimento|title
finalizador-inv|finalizador-banking|Carrosel Vertical|Menu principal|title
finalizador-inv|finalizador-banking|Carrosel Vertical|Menu de investimentos|title
finalizador-inv|finalizador-banking|Carrosel Vertical|Voltar|title
finalizador-inv|finalizador-banking|Carrosel Vertical|Outros|title
finalizador-inv|logica-enviamensagem|Lógica|OK|title
finalizador-inv|logica-enviamensagem|Lógica|N-OK|title
finalizador-inv|pergunta-enviamensag|Pergunta||message
finalizador-inv|pergunta-enviamensag|Pergunta|Saída|title
finalizador-inv|pergunta-enviamensag|Pergunta|Outros|title
finalizador-inv|forahorario-invest|Carrosel Vertical|Você está tentando acessar o atendimento fora do horário. O que gostaria de fazer agora?|message
finalizador-inv|forahorario-invest|Carrosel Vertical|Deixar uma mensagem|title
finalizador-inv|forahorario-invest|Carrosel Vertical|Encerrar atendimento|title
finalizador-inv|forahorario-invest|Carrosel Vertical|Menu principal|title
finalizador-inv|forahorario-invest|Carrosel Vertical|Outros|title
finalizador-inv|forahorario-banking|Carrosel Vertical|Você está tentando acessar o atendimento fora do horário. O que gostaria de fazer agora?|message
finalizador-inv|forahorario-banking|Carrosel Vertical|Deixar uma mensagem|title
finalizador-inv|forahorario-banking|Carrosel Vertical|Encerrar atendimento|title
finalizador-inv|forahorario-banking|Carrosel Vertical|Menu principal|title
finalizador-inv|forahorario-banking|Carrosel Vertical|Outros|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Selecione o assunto que você deseja registrar sua mensagem.|message
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Cadastro|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Movimentações financeiras|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Dúvidas de investimentos|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Câmbio e limites|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Operação não reconhecida|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Outros assuntos|title
finalizador-inv|opcoes-fora-horario|Carrosel Vertical|Outros|title
finalizador-inv|opcoes-pick-list-inv|Lógica|Cadastro|title
finalizador-inv|opcoes-pick-list-inv|Lógica|Movimentações financeiras|title
finalizador-inv|opcoes-pick-list-inv|Lógica|Dúvidas de investimentos|title
finalizador-inv|opcoes-pick-list-inv|Lógica|Câmbio e limites|title
finalizador-inv|opcoes-pick-list-inv|Lógica|Operação não reconhecida|title
finalizador-inv|opcoes-pick-list-inv|Lógica|Outros assuntos|title
finalizador-inv|opcoes-pick-list-inv|Lógica||title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Selecione o assunto que você deseja registrar sua mensagem.|message
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Cartão Banking|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Transações Cartão|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Transferências Banking|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Câmbio para Banking|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Perda, roubo ou furto|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Funcionalidades Banking|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Outros assuntos|title
finalizador-inv|fora-horario-bnk|Carrosel Vertical|Outros|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Cartão banking|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Transações Cartão|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Transferências Banking|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Câmbio para Banking|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Perda, roubo ou furto|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Funcionalidades Banking|title
finalizador-inv|opcoes-pick-list-bnk|Lógica|Outros assuntos|title
finalizador-inv|opcoes-pick-list-bnk|Lógica||title
finalizador-inv|opcoes-cadastro|Carrosel Vertical|Sobre cadastro, você deseja falar sobre:|message
finalizador-inv|opcoes-cadastro|Carrosel Vertical|Alterar dados|title
finalizador-inv|opcoes-cadastro|Carrosel Vertical|Dificuldades de login|title
finalizador-inv|opcoes-cadastro|Carrosel Vertical|Cancelar conta|title
finalizador-inv|opcoes-cadastro|Carrosel Vertical|Outros assuntos|title
finalizador-inv|opcoes-cadastro|Carrosel Vertical|Outros|title
finalizador-inv|opcoes-dep-ret|Carrosel Vertical|Sobre movimentações financeiras, você deseja falar sobre:|message
finalizador-inv|opcoes-dep-ret|Carrosel Vertical|Depósito|title
finalizador-inv|opcoes-dep-ret|Carrosel Vertical|Retirada|title
finalizador-inv|opcoes-dep-ret|Carrosel Vertical|Transferência de ativos|title
finalizador-inv|opcoes-dep-ret|Carrosel Vertical|Outros assuntos|title
finalizador-inv|opcoes-dep-ret|Carrosel Vertical|Outros|title
finalizador-inv|opcoes-cmb|Carrosel Vertical|Sobre câmbio e limites, você deseja falar sobre:|message
finalizador-inv|opcoes-cmb|Carrosel Vertical|Aumento de limite|title
finalizador-inv|opcoes-cmb|Carrosel Vertical|Dúvidas sobre câmbio|title
finalizador-inv|opcoes-cmb|Carrosel Vertical|Liquidação de câmbio|title
